nThreads, rep, MatrixName, NRows, NCol, NZ, k, hackSize, time, err_rel, speedup, bandwidth, GFLOPS
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 32, 0.000003, 5.397471, 0.002796, 0.013832, 0.310914
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 32, 0.000003, 5.397471, 0.002687, 0.013293, 0.298780
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 32, 0.000003, 5.397471, 0.002710, 0.013407, 0.301353
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 32, 0.000003, 5.397471, 0.002744, 0.013574, 0.305106
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 32, 0.000003, 5.397471, 0.002764, 0.013676, 0.307403
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 32, 0.000003, 5.397471, 0.002810, 0.013903, 0.312500
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 64, 0.000003, 5.397471, 0.002713, 0.022291, 0.301724
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 64, 0.000003, 5.397471, 0.002664, 0.021886, 0.296252
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 64, 0.000003, 5.397471, 0.002764, 0.022710, 0.307403
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 64, 0.000003, 5.397471, 0.002730, 0.022429, 0.303594
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 64, 0.000003, 5.397471, 0.002667, 0.021913, 0.296610
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 64, 0.000003, 5.397471, 0.002757, 0.022653, 0.306633
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 64, 0.000003, 5.397471, 0.002754, 0.022625, 0.306250
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 64, 0.000003, 5.397471, 0.002651, 0.021781, 0.294826
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 64, 0.000003, 5.397471, 0.002747, 0.022569, 0.305486
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 8, 64, 0.000003, 5.397471, 0.002670, 0.021939, 0.296970
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 32, 0.000002, 3.190494, 0.047967, 0.016429, 0.475420
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 32, 0.000003, 3.190494, 0.046117, 0.015796, 0.457090
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 32, 0.000003, 3.190494, 0.045495, 0.015583, 0.450920
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 32, 0.000003, 3.190494, 0.044998, 0.015413, 0.445995
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 32, 0.000003, 3.190494, 0.035346, 0.012107, 0.350334
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 32, 0.000003, 3.190494, 0.045162, 0.015469, 0.447625
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 32, 0.000003, 3.190494, 0.046175, 0.015816, 0.457659
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 32, 0.000003, 3.190494, 0.046522, 0.015935, 0.461104
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 32, 0.000003, 3.190494, 0.045889, 0.015718, 0.454827
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 32, 0.000003, 3.190494, 0.046406, 0.015895, 0.459950
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 64, 0.000003, 3.190494, 0.044088, 0.023662, 0.436980
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 64, 0.000003, 3.190494, 0.043776, 0.023495, 0.433884
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 64, 0.000003, 3.190494, 0.043621, 0.023412, 0.432353
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 64, 0.000003, 3.190494, 0.043417, 0.023302, 0.430328
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 64, 0.000003, 3.190494, 0.045719, 0.024538, 0.453144
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 64, 0.000003, 3.190494, 0.040656, 0.021820, 0.402961
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 64, 0.000003, 3.190494, 0.044780, 0.024034, 0.443841
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 64, 0.000003, 3.190494, 0.044458, 0.023861, 0.440647
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 64, 0.000003, 3.190494, 0.043519, 0.023357, 0.431338
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 12, 64, 0.000003, 3.190494, 0.043621, 0.023412, 0.432353
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 32, 0.000003, 3.708792, 0.003704, 0.014078, 0.475728
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 32, 0.000003, 3.708792, 0.004356, 0.016553, 0.559361
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 32, 0.000003, 3.708792, 0.004494, 0.017079, 0.577150
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 32, 0.000004, 3.708792, 0.002860, 0.010870, 0.367316
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 32, 0.000003, 3.708792, 0.004636, 0.017618, 0.595383
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 32, 0.000003, 3.708792, 0.004575, 0.017386, 0.587530
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 32, 0.000003, 3.708792, 0.004489, 0.017059, 0.576471
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 32, 0.000003, 3.708792, 0.004734, 0.017990, 0.607940
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 32, 0.000003, 3.708792, 0.004468, 0.016979, 0.573771
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 32, 0.000003, 3.708792, 0.004553, 0.017303, 0.584726
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 64, 0.000004, 3.708792, 0.003469, 0.019727, 0.445455
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 64, 0.000003, 3.708792, 0.004442, 0.025262, 0.570431
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 64, 0.000003, 3.708792, 0.004376, 0.024885, 0.561927
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 64, 0.000003, 3.708792, 0.004537, 0.025803, 0.582640
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 64, 0.000003, 3.708792, 0.004421, 0.025145, 0.567787
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 64, 0.000003, 3.708792, 0.004341, 0.024687, 0.557452
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 64, 0.000003, 3.708792, 0.004411, 0.025087, 0.566474
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 64, 0.000003, 3.708792, 0.004500, 0.025590, 0.577830
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 64, 0.000003, 3.708792, 0.004581, 0.026050, 0.588235
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 64, 0.000003, 3.708792, 0.004287, 0.024382, 0.550562
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 32, 0.000003, 3.609059, 0.008023, 0.025440, 1.148886
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 32, 0.000003, 3.609059, 0.007733, 0.024520, 1.107345
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 32, 0.000003, 3.609059, 0.008118, 0.025741, 1.162515
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 32, 0.000003, 3.609059, 0.008167, 0.025895, 1.169451
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 32, 0.000003, 3.609059, 0.007830, 0.024828, 1.121281
