nThreads, rep, MatrixName, NRows, NCol, NZ, k, hackSize, time, err_rel, speedup, bandwidth, GFLOPS
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0, 0.000002, 3.708792, 0.007015, 0.016451, 0.875000
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0, 0.000002, 3.708792, 0.007203, 0.017124, 0.910781
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0, 0.000002, 3.708792, 0.006986, 0.016569, 0.881295
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0, 0.000002, 3.708792, 0.006669, 0.016480, 0.876565
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0, 0.000002, 3.708792, 0.006664, 0.016050, 0.853659
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 16, 0, 0.000002, 3.708792, 0.006814, 0.016451, 0.875000
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0, 0.000002, 3.609059, 0.017482, 0.029466, 1.759426
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0, 0.000002, 3.609059, 0.011885, 0.028346, 1.692573
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0, 0.000002, 3.609059, 0.012623, 0.029360, 1.753131
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0, 0.000002, 3.609059, 0.012092, 0.029360, 1.753131
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0, 0.000002, 3.609059, 0.011680, 0.029308, 1.750000
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0, 0.000002, 3.609059, 0.011750, 0.027538, 1.644295
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0, 0.000002, 3.609059, 0.011673, 0.028200, 1.683849
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0, 0.000002, 3.609059, 0.011497, 0.027724, 1.655405
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0, 0.000002, 3.609059, 0.012164, 0.029413, 1.756272
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 32, 0, 0.000002, 3.609059, 0.012199, 0.029256, 1.746881
0, 0, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0, 0.000001, 3.904513, 0.050683, 0.084187, 5.355191
0, 1, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0, 0.000001, 3.904513, 0.035588, 0.086068, 5.474860
0, 2, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0, 0.000001, 3.904513, 0.036156, 0.086068, 5.474860
0, 3, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0, 0.000001, 3.904513, 0.035589, 0.088036, 5.600000
0, 4, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0, 0.000001, 3.904513, 0.035075, 0.086310, 5.490196
0, 5, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0, 0.000001, 3.904513, 0.034761, 0.084650, 5.384615
0, 6, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0, 0.000001, 3.904513, 0.037610, 0.090095, 5.730994
0, 7, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0, 0.000001, 3.904513, 0.036008, 0.087041, 5.536723
0, 8, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0, 0.000001, 3.904513, 0.033994, 0.083503, 5.311653
0, 9, ../measurements/matrix_files/cage4.mtx, 9, 9, 49, 64, 0, 0.000001, 3.904513, 0.037266, 0.085353, 5.429363
0, 0, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 0, 0.000002, 25.669422, 0.080841, 0.517239, 12.404801
0, 1, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 0, 0.000002, 25.669422, 0.086113, 0.548092, 13.144737
0, 2, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 0, 0.000002, 25.669422, 0.085564, 0.545223, 13.075916
0, 3, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 0, 0.000002, 25.669422, 0.086766, 0.535870, 12.851629
0, 4, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 0, 0.000002, 25.669422, 0.088240, 0.551966, 13.237632
0, 5, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 0, 0.000002, 25.669422, 0.084976, 0.541443, 12.985268
0, 6, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 0, 0.000002, 25.669422, 0.082379, 0.525063, 12.592437
0, 7, ../measurements/matrix_files/olm1000.mtx, 1000, 1000, 3996, 3, 0, 0.000002, 25.669422, 0.083861, 0.534953, 12.829623
